timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-23 17:08:56.68,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-23 17:08:56.69,open,-1,-2,-2,-2,-1,-4,-3,2,-1,1,0,-2,-1,2,0,0,-1,-1,0,0,0,0,2,0,0,0,0,-1,-3,1,2,-1,0,1,-1,0,1,0,-2,2,1,0,-2,-1,-1,1,-3,1
2025-05-23 17:08:56.70,open,0,-2,-1,0,0,-5,-2,0,-1,-1,-2,-4,1,1,0,-1,0,-1,-2,-1,-1,0,2,0,-2,-1,0,0,-1,1,0,0,1,1,-3,0,1,1,-2,0,1,0,-2,1,-1,0,-1,0
2025-05-23 17:08:56.72,open,1,2,2,-2,0,0,-3,2,-2,0,-1,-2,-1,2,0,1,-1,-3,-3,0,0,1,3,-1,1,0,1,-1,-1,0,0,0,-1,1,0,1,0,-1,1,2,0,0,-2,1,0,0,-1,1
2025-05-23 17:08:56.73,open,-2,-2,-2,-2,1,-3,-3,1,-2,0,-1,-4,2,2,-1,0,-2,-1,0,-1,-1,0,2,-1,-1,-1,-1,0,-1,-2,0,0,-1,0,0,0,-1,-2,-1,0,-1,2,-2,-1,-1,0,-1,1
2025-05-23 17:08:56.74,open,6,6,3,5,3,0,1,2,0,1,-2,-1,0,1,-1,1,-1,-3,-3,-2,1,1,2,0,-1,-2,-1,-1,0,1,1,-1,-1,2,-1,0,-1,1,0,-1,-1,0,-2,0,2,1,-2,1
2025-05-23 17:08:56.75,open,1,4,1,-1,3,1,0,3,1,0,0,-1,1,2,1,0,-1,-2,-2,0,0,1,1,-1,-1,0,0,-1,-2,-1,-1,0,-1,0,-3,-1,0,0,-2,-1,-1,0,-2,-1,-1,1,-1,1
2025-05-23 17:08:56.76,open,0,-2,-1,-2,-1,-4,-2,2,-1,1,0,-3,-1,3,-1,1,-1,-3,-2,-1,0,0,3,0,-2,0,0,-1,-1,1,2,-2,1,2,-3,0,1,-1,0,2,-1,0,-2,-1,-1,3,-2,1
2025-05-23 17:08:56.77,open,8,10,10,6,4,2,2,3,3,1,-2,-1,1,2,-1,1,-1,-4,-2,0,-1,-2,3,0,-2,-1,-1,0,-1,-1,1,-1,1,1,-2,-1,2,1,-2,0,0,0,-2,-2,2,0,-3,0
2025-05-23 17:08:56.78,open,2,2,1,-2,0,-1,-2,2,-2,-2,-1,-4,1,2,-1,1,-1,-3,-2,0,-1,-2,0,0,-2,-1,-1,0,-1,-1,-1,0,0,1,-2,0,1,1,-2,1,0,-1,0,-1,-1,0,-1,0
2025-05-23 17:08:56.79,open,2,0,-2,1,1,-3,-2,0,-1,-1,-2,-4,0,2,-1,1,-1,-3,-2,-2,0,1,2,-2,-1,0,0,-1,-3,1,0,0,-1,0,-3,2,0,-1,0,-1,-1,2,-2,-1,2,1,-3,1
2025-05-23 17:08:56.80,open,3,1,1,0,0,-1,0,0,2,-1,-3,-3,0,1,-2,0,-2,-3,-2,-1,-1,-1,2,-1,-3,-1,0,0,-1,-1,1,-1,-1,0,-1,1,-1,0,0,0,0,2,-2,-1,2,1,-2,1
2025-05-23 17:08:56.82,open,4,1,2,0,0,0,0,3,2,-1,-3,-1,-1,1,-1,0,-1,-4,-3,-1,-1,0,2,-2,-1,0,-1,-1,-3,0,1,-1,0,1,-3,-1,0,1,0,-1,1,0,-2,-1,1,1,-2,1
2025-05-23 17:08:56.83,open,4,1,1,2,0,0,-2,2,2,-1,-2,-2,0,1,0,0,-1,-3,-3,-2,-1,0,2,-2,0,-1,-1,-1,-1,0,0,-2,0,1,-3,0,0,-1,-2,1,-1,0,-2,0,-1,0,-1,0
2025-05-23 17:08:56.84,open,5,0,2,1,1,0,-2,3,0,-1,-2,0,-1,3,-1,-1,0,-4,-4,0,0,-2,0,0,-2,-2,-1,0,-1,-1,-1,0,0,5,-3,1,0,-2,0,1,-1,0,-1,0,-1,0,-1,0
2025-05-23 17:08:56.85,open,2,4,1,1,1,-2,-4,2,-1,-1,-1,-3,1,1,-3,-1,-2,-3,-2,-2,-3,1,2,-2,-1,-1,0,-1,-1,0,0,0,0,1,-2,1,1,-1,-2,0,0,0,-2,-1,1,0,-2,0
2025-05-23 17:08:56.86,open,3,1,0,2,1,-4,-2,2,1,0,-1,-3,1,1,-2,0,-2,-6,-2,-1,0,0,0,-2,-1,-1,0,0,-1,0,0,-1,0,0,-2,0,0,-1,1,0,0,0,-2,1,0,0,-2,1
2025-05-23 17:08:56.87,open,1,-2,-1,-3,-1,-2,-4,2,-1,-4,-2,-2,-1,0,-1,-1,-1,-3,-1,-1,-1,-1,2,0,-1,-1,0,0,0,-1,0,0,0,0,-1,1,0,-1,-2,2,0,0,-2,0,-1,0,-1,1
2025-05-23 17:08:56.89,open,4,2,3,2,0,-1,-2,0,0,-1,-2,-2,0,0,-1,-1,-2,-3,-2,-1,-1,-1,0,0,-1,-2,-1,0,-1,-1,-1,-1,0,0,-3,0,1,-1,-3,0,-1,2,-2,-1,0,0,-2,1
2025-05-23 17:08:56.90,open,5,2,2,3,2,-1,0,2,0,0,-1,-3,1,1,-2,1,-2,-4,-3,-2,-2,0,2,-1,-2,-2,0,0,0,0,0,0,-1,2,0,-1,1,1,0,0,-1,2,-3,0,0,0,0,1
2025-05-23 17:08:56.91,open,2,1,-1,0,1,-3,-3,0,0,0,-2,-3,1,0,-2,0,-2,-4,-3,-2,0,0,2,-1,-2,-3,0,0,-1,0,-1,0,-1,1,0,0,-1,1,-2,-1,-1,0,-3,1,-1,0,0,1
2025-05-23 17:08:56.92,open,1,1,1,-3,1,-1,-3,2,-1,-3,0,-3,-1,0,-1,0,-1,-3,-2,-2,0,1,3,-2,-2,-1,0,2,-1,0,0,0,-1,0,-1,1,-1,2,0,0,-1,0,-2,-1,0,1,-2,0
2025-05-23 17:08:56.93,open,2,4,1,1,-1,0,-1,2,0,-2,-1,-1,0,1,1,0,-1,-3,-2,0,0,0,2,-1,-2,0,0,0,-1,-1,0,0,0,1,-1,-1,1,0,-2,1,0,0,-3,0,0,0,-2,1
2025-05-23 17:08:56.94,open,6,5,2,3,0,0,-2,1,-1,-1,-2,-1,-1,2,-1,0,-2,-2,-2,-1,-2,1,3,0,-2,-1,-2,2,-1,0,0,0,0,1,-2,0,1,1,-2,1,-1,0,-1,-1,0,0,-2,1
2025-05-23 17:08:56.95,open,0,1,2,-1,0,-1,-3,2,0,0,0,-3,2,2,0,0,-1,-4,-3,-1,0,0,3,-1,-1,0,1,1,-1,-1,2,-1,-2,2,-1,0,0,-1,0,0,-1,0,-1,-1,-1,2,-1,1
2025-05-23 17:08:56.96,open,-1,-4,-2,-2,-1,-5,-3,0,-1,-1,-2,-1,-1,1,-1,1,-1,-3,-2,-2,-3,-2,3,-2,-1,-1,-1,1,-1,0,1,0,-1,1,-1,0,0,-2,0,0,-1,0,-3,-2,-1,1,-1,0
